"player_index","X","Game_id","Team","minutes","Points","season_id","Total_Rebounds","Assists","Steals","Turnovers","Blocked_Shots","br_url","cbb_games","cbb_minutes"
90,2956.000000000001,22518216.776470583,"DAL",1249,458,2003.999999999999,113,180,81,92,20,"devin-harris-1",95.99999999999997,3359.999999999999
91,3020,20400391.23255814,"IND",761,264,2003.9999999999995,135,13,16,53,55,"david-harrison-1",88,2481.0000000000005
93,3156.999999999998,20400684.253731348,"UTA",873,278,2003.9999999999989,197,43,25,52,18,"kris-humphries-1",28.999999999999982,987.9999999999998
94,3233.999999999999,21550010.65517242,"PHI",2881,790,2003.999999999999,487,261,152,144,53,"andre-iguodala-1",61.99999999999999,1574
95,3308.499999999999,20400675.548387095,"ATL",810,220,2003.9999999999989,84,103,39,58,7,"royal-ivey-1",132.99999999999994,3284.999999999999
96,3344.5000000000005,20400226.8,"CLE",43,29,2004,6,3,0,2,0,"luke-jackson-1",126,3666
99,3447.5,20401114.2,"ORL",114,23,2004,13,6,5,3,2,"mark-jones-1",111.99999999999999,3976
102,3530,20400552,"HOU",3,0,2004,0,1,0,0,0,"brandin-knight-1",127,4305
105,3662.000000000001,20400637.777777787,"SAC",455,131,2003.9999999999995,58,22,16,24,3,"kevin-martin-1",78.99999999999999,2512
106,3723.9999999999995,20400600.063291132,"ORL",1615,689,2003.999999999999,193,237,78,117,3,"jameer-nelson-1",125.00000000000001,4312.000000000003
107,3766.9999999999995,20400353.428571433,"CHA",266,114,2003.9999999999998,79,5,8,14,15,"emeka-okafor-1",102.99999999999999,3274.9999999999995
109,3789.9999999999986,24538559.034482766,"BOS",142,48,2003.9999999999998,17,10,3,7,1,"justin-reed-1",121.99999999999999,3501
110,3815.5,23128015.090909094,"CHI",138,21,2003.9999999999993,41,1,3,10,7,"jared-reiner-1",109,1994.0000000000005
111,3842.0000000000005,20400685.032258064,"CHA",329,93,2004,48,30,11,20,4,"bernard-robinson-1",120,3672.0000000000005
112,3896.499999999999,20400613.82051283,"LAC",1655,397,2003.999999999999,210,109,51,54,22,"quinton-ross-1",118.99999999999999,3617.0000000000005
116,4033.5000000000005,20400637.81081081,"ATL",2049,715,2003.999999999999,457,127,59,135,144,"josh-smith-1",4,30.000000000000007
117,4104.499999999999,20400614.35294117,"UTA",906,338,2003.999999999999,121,36,26,58,19,"kirk-snyder-1",83.99999999999996,2586.999999999999
118,4152,20400861.44444444,"TOR",256,62,2003.9999999999993,57,2,12,10,4,"pape-sow-1",71.99999999999999,2332
119,4170,20400167.333333332,"NJN",31,8,2003.9999999999998,5,1,0,0,0,"awvee-storey-1",101.99999999999999,2345.9999999999995
123,4275.999999999999,21882227.888888884,"NJN",358,92,2003.9999999999993,36,17,14,9,1,"billy-thomas-1",137,2369.9999999999995
124,4295,20400655.36363636,"POR",117,26,2004,37,4,4,7,4,"james-thomas-1",134,2894.0000000000005
127,4478.500000000001,20400785.086956512,"PHO",705,212,2003.9999999999995,175,40,25,64,19,"jackson-vroman-1",63,1927.0000000000002
129,4525.500000000002,23444226.17391303,"BOS",621,204,2003.9999999999995,74,57,28,26,9,"delonte-west-1",88.99999999999999,2385.0000000000005
130,4566.500000000001,24289514.583333332,"SEA",655,222,2003.9999999999998,84,29,32,24,11,"damien-wilkins-1",116.99999999999999,3556.000000000001
132,4590,20500966.6,"DET",36,9,2005,5,4,1,4,0,"alex-acker-1",88,3027
133,4610.5,20500737.472222216,"CHA",565,207,2005.0000000000002,70,32,11,32,4,"alan-anderson-1",126,3376.0000000000005
135,4638.5,20500732.375,"MIA",47,13,2004.9999999999998,10,0,0,5,0,"earl-barron-1",128,2534.0000000000005
136,4646,20500553.000000004,"CHI",45,10,2004.9999999999998,7,4,3,2,2,"eddie-basden-1",118,3209
137,4664,20500635.206896555,"NOK",268,68,2005.0000000000002,68,3,3,11,7,"brandon-bass-1",59,2016.9999999999998
140,4808.000000000003,21650016.839080453,"MIL",2517,811,2005,604,209,52,133,68,"andrew-bogut-1",67.99999999999997,2222.999999999999
141,4871.000000000003,20500665.35897436,"CHA",342,70,2005.0000000000002,26,48,26,25,2,"kevin-burleson-1",123.00000000000003,3321.0000000000005
143,4945,20501108.466666665,"GSW",163,54,2005,12,19,7,14,0,"will-bynum-1",101.00000000000001,2201
145,5028.000000000002,20500638.65217391,"ORL",245,88,2005,21,16,7,10,0,"travis-diener-1",119.99999999999996,3768
146,5046.5,20500720.857142862,"GSW",198,81,2005,43,8,3,12,6,"ike-diogu-1",90.99999999999999,3193.9999999999995
148,5138.500000000001,22167217.736111123,"LAC",992,254,2005,85,84,37,57,6,"daniel-ewing-1",137.99999999999997,3822
149,5180.499999999999,20501066.833333332,"SEA",82,18,2004.9999999999995,13,2,2,8,3,"noel-felix-1",128,2214
150,5226.500000000002,20500593.487500012,"CHA",2397,948,2004.9999999999998,265,446,102,182,8,"raymond-felton-1",101.00000000000003,3422.999999999999
151,5275.5,20500421.388888884,"MIA",241,84,2005,30,33,7,15,5,"gerald-fitch-1",126.99999999999999,3340.0000000000005
152,5286,20500236.333333332,"PHO",13,4,2004.9999999999998,3,0,0,2,1,"sharrod-ford-1",117.99999999999999,2820
153,5320.000000000001,20500509.35384614,"NYK",1570,802,2004.9999999999995,374,53,30,97,47,"channing-frye-1",132.99999999999997,3683.9999999999986
154,5353.5,20500015,"PHI",5,0,2005,0,0,0,0,0,"deng-gai-1",100,2950
155,5384.999999999998,20500664.44262295,"BOS",1368,461,2004.9999999999995,298,58,35,55,5,"ryan-gomes-1",115.99999999999994,4070.999999999998
156,5455.500000000001,20500599.700000003,"TOR",1569,533,2004.9999999999998,244,60,37,92,13,"joey-graham-1",128,3339.999999999999
157,5506.499999999998,20500687.227272723,"HOU",179,58,2005,27,7,5,13,2,"stephen-graham-1",119,1855.9999999999995
158,5559.5,21929182.23809525,"IND",1924,636,2005,415,100,62,87,69,"danny-granger-1",94.99999999999999,2697.999999999999
159,5614.999999999998,20500468.2962963,"LAL",136,25,2005.0000000000002,24,7,3,5,0,"devin-green-1",123,3837
161,5700.499999999999,20500610.12500001,"BOS",1249,254,2004.9999999999998,145,129,77,109,10,"orien-greene-1",103.99999999999994,2568.0000000000005
162,5746.499999999999,20501137.91666666,"ATL",110,52,2004.9999999999995,17,9,7,9,0,"anthony-grundy-1",120.99999999999999,3556.9999999999995
163,5769.500000000001,20500884.29411764,"HOU",436,125,2005.0000000000005,144,13,22,10,12,"chuck-hayes-1",134.00000000000003,3509.9999999999995
164,5826.499999999999,20500629.349999998,"HOU",2285,707,2004.9999999999998,266,215,89,119,9,"luther-head-1",128,3251.0000000000005
165,5873.5,20500531.64285714,"DEN",35,13,2005,7,6,2,8,0,"julius-hodge-1",129,4257
166,5882.5,20500489.25,"CHI",10,2,2004.9999999999998,1,0,0,0,0,"randy-holcomb-1",93,2352
167,5923.999999999999,20500601.797468346,"POR",1610,526,2004.9999999999998,160,219,41,102,2,"jarrett-jack-1",101.00000000000001,3261.9999999999986
168,6003.999999999998,21982044.012345668,"IND",1625,564,2004.9999999999998,159,233,40,121,5,"sarunas-jasikevicius-1",120.00000000000001,1859.9999999999995
169,6046,20501010.333333332,"DET",38,20,2004.9999999999998,4,3,0,4,2,"amir-johnson-1",120,4140
170,6054.5,20500993.285714287,"BOS",89,14,2005,31,2,1,3,3,"dwayne-jones-1",97.99999999999999,2753.0000000000005
171,6093.499999999995,21438074.906249993,"DEN",536,219,2004.9999999999995,120,17,10,16,13,"linas-kleiza-1",48.99999999999999,1405.999999999999
173,6182.999999999998,20500678.880597007,"NYK",1138,345,2004.9999999999995,303,43,30,51,20,"david-lee-1",126.99999999999991,3174.9999999999986
175,6246.999999999999,20500903.999999996,"DAL",247,71,2005,31,10,8,15,7,"rawle-marshall-1",102.99999999999999,3264.9999999999995
176,6271.499999999998,20500571.307692308,"DET",145,60,2005.0000000000002,28,3,4,11,5,"jason-maxiell-1",129,3560.000000000001
177,6296.000000000001,20500176.869565226,"CHA",400,189,2005,109,22,17,33,12,"sean-may-1",76.99999999999997,2140
178,6347.000000000001,20500615.278481007,"MIN",1369,627,2004.9999999999998,143,63,44,86,22,"rashad-mccants-1",98.00000000000004,2861
179,6396.000000000001,20500177.52631579,"GSW",121,16,2005,14,24,4,11,1,"aaron-miles-1",138,4291
183,6532,20500268.652173914,"UTA",211,69,2005,21,8,5,13,0,"andre-owens-1",116.99999999999997,3532.9999999999995
184,6554.999999999999,20500701.478260867,"NOK",811,372,2005,112,178,53,51,3,"chris-paul-1",63,2110
186,6655.999999999999,23291386.604651157,"DAL",454,110,2005.0000000000002,83,10,7,23,4,"josh-powell-1",65,1500.9999999999998
187,6680.5,20500889,"SAC",23,8,2005,2,3,3,2,0,"ronnie-price-1",114,3556
188,6711.999999999997,20500704.877192974,"PHI",494,131,2004.9999999999993,133,19,19,21,12,"shavlik-randolph-1",91.99999999999999,1609.9999999999995
189,6748.499999999999,20500598.812499996,"MEM",91,35,2005,6,5,1,3,0,"anthony-roberson-1",93,2734
190,6773.000000000001,20500461.06060606,"MEM",186,51,2005.0000000000005,49,5,8,5,2,"lawrence-roberts-1",118.00000000000001,3705.0000000000005
191,6798,20500673.529411767,"NYK",417,181,2005,50,48,22,32,0,"nate-robinson-1",89,2509
192,6814.500000000002,20500682.625,"SAS",115,41,2005,23,3,5,8,0,"melvin-sanders-1",94,2679
193,6823,20500137,"SAS",1,0,2005,0,0,0,0,0,"alex-scales-1",62,1909
194,6835,23109620.391304344,"CHI",169,43,2005,36,7,1,6,3,"luke-schenscher-1",118,2631
195,6868.999999999998,21389488.999999993,"MIA",425,146,2005.0000000000002,89,7,13,25,1,"wayne-simien-1",105.99999999999999,2819
196,6924.499999999998,22621792.212121222,"LAC",781,205,2004.9999999999998,200,31,19,28,21,"james-singleton-1",60.00000000000001,1883.9999999999993
197,6963,20500493.09090909,"ATL",208,86,2004.9999999999998,16,16,3,9,0,"salim-stoudamire-1",129,3844
198,6977,20500164.11764706,"GSW",145,47,2005,36,2,2,2,7,"chris-taft-1",65,1690
199,7011.499999999997,20885397.69230769,"WAS",473,140,2004.9999999999998,53,46,31,34,4,"donell-taylor-1",65,1507.9999999999993
200,7042.499999999999,20500418.900000006,"PHO",44,28,2004.9999999999998,11,1,3,2,1,"dijon-thompson-1",117,3252
201,7060.5,22808575.384615384,"LAL",184,56,2005.0000000000002,44,8,3,9,11,"ronny-turiaf-1",126.99999999999999,3237.999999999999
202,7113.999999999999,20500604.66666666,"TOR",2354,1053,2004.9999999999998,521,88,60,99,63,"charlie-villanueva-1",63.00000000000001,1403.9999999999998
203,7155,20500689,"LAL",6,0,2005,1,1,0,0,0,"von-wafer-1",61,1317
204,7156,20500083,"MIA",2,0,2005,0,0,0,1,0,"matt-walsh-1",92,2824
205,7191.999999999997,21345680.19718308,"MEM",767,298,2005,151,30,15,60,21,"hakim-warrick-1",135,4185.000000000001
207,7299.999999999997,20500372.521739133,"UTA",215,49,2005,43,17,7,14,8,"robert-whaley-1",22.000000000000004,285.9999999999999
208,7351.5,20500605.574999996,"UTA",2310,864,2004.9999999999998,194,359,60,145,17,"deron-williams-1",101.00000000000003,3201.0000000000005
209,7431.000000000001,20500615.01265822,"ATL",1947,672,2004.9999999999998,383,63,48,83,24,"marvin-williams-1",35.999999999999986,798.9999999999995
210,7492.499999999999,22773452.840909094,"NJN",386,74,2005.0000000000002,30,12,4,21,3,"antoine-wright-1",87.00000000000001,2791.999999999999
211,7518.000000000001,20501020.14285714,"MIN",135,62,2004.9999999999998,18,5,1,8,0,"bracey-wright-1",85,3034.0000000000005
212,7522.5,20501216,"NJN",32,4,2005,4,7,0,4,0,"derrick-zimmerman-1",127,3302
213,7556.999999999999,22391601.999999985,"NJN",503,176,2005.9999999999998,78,13,17,22,4,"hassan-adams-1",130,3613.999999999999
214,7607.999999999999,22314811.31428571,"DAL",246,84,2006,24,7,4,15,3,"maurice-ager-1",124.00000000000001,3173.9999999999995
215,7656.999999999996,20600585.523809522,"POR",1376,565,2005.9999999999995,312,24,22,43,73,"lamarcus-aldridge-1",52.99999999999997,1599.9999999999986
216,7716.499999999999,20600660.374999996,"NOK",644,176,2006,149,10,12,35,26,"hilton-armstrong-1",130.99999999999997,1977.999999999999
217,7745.5,20600734,"ORL",8,2,2006,3,2,0,0,0,"james-augustine-1",137,3712
218,7770.000000000002,23153927.361702126,"GSW",681,295,2006.0000000000005,98,28,23,39,10,"kelenna-azubuike-1",96.99999999999997,2172.0000000000005
219,7827.499999999997,20600542.27941177,"NYK",1043,334,2005.9999999999998,294,44,57,49,44,"renaldo-balkman-1",103.99999999999994,2194
221,7933,20601000,"DET",7,2,2006,2,0,0,1,0,"will-blalock-1",93,3189
222,7958.499999999996,25400740.12,"NJN",592,242,2006.0000000000002,141,10,9,30,18,"josh-boone-1",102.99999999999999,2667.000000000001
223,7994.999999999998,20600198.695652165,"ATL",207,26,2005.9999999999998,23,9,5,9,2,"cedric-bozeman-1",105.99999999999999,2946
224,8023.999999999999,25172128.085714284,"UTA",331,142,2006,38,16,15,12,1,"ronnie-brewer-1",90.00000000000001,2970
225,8060.500000000002,20600850.894736845,"SEA",270,93,2006.0000000000005,74,2,6,29,4,"andre-brown-1",107,3103.0000000000005
226,8096.500000000001,25306599.735294126,"UTA",329,79,2006,30,69,11,25,4,"dee-brown-1",107.99999999999999,3132.000000000001
227,8125.499999999998,21433926.916666668,"CLE",201,73,2005.9999999999998,21,10,7,14,3,"shannon-brown-1",96.99999999999999,2715.999999999999
228,8171,20600545.52238806,"PHI",1169,442,2005.9999999999998,128,26,38,43,23,"rodney-carney-1",132.99999999999997,3669.999999999998
229,8230.5,20600668.28846154,"NYK",772,235,2006,104,83,32,57,3,"mardy-collins-1",124.99999999999999,4686.999999999999
230,8259.5,20600932,"MEM",49,0,2006.0000000000002,7,9,0,2,0,"will-conroy-1",121,3025
231,8278,20600554.064516127,"LAC",179,51,2006,44,7,6,8,5,"paul-davis-1",130,3353.999999999999
232,8326.000000000002,20908251.8,"DEN",1141,284,2005.9999999999995,110,55,30,37,7,"yakhouba-diawara-1",45,1461.9999999999993
233,8379.5,20600636,"SAC",359,119,2006.0000000000005,37,15,15,15,4,"quincy-douby-1",95,3049.000000000001
234,8438.999999999996,21899257.948051937,"LAL",1209,352,2005.9999999999998,133,145,50,78,8,"jordan-farmar-1",66.00000000000001,2124.9999999999995
235,8481.5,20600322.625000004,"SEA",33,13,2006,1,9,1,1,0,"desmon-farmer-1",121,3267.0000000000005
236,8526.499999999996,20600630.56097561,"MIN",1875,832,2005.9999999999998,218,232,53,152,21,"randy-foye-1",131.00000000000003,4100
238,8670.499999999996,20600575.06410257,"MEM",2074,846,2005.9999999999998,348,100,71,140,74,"rudy-gay-1",64,1907.0000000000002
240,8819.500000000005,25600553.075000003,"CLE",1391,441,2006,124,90,35,53,12,"daniel-gibson-1",67.99999999999997,2244.000000000001
242,8892.999999999998,20600876.707317077,"MIL",430,167,2006.0000000000005,27,53,17,18,1,"lynn-greer-1",137,4699.000000000001
243,8914.5,20601147.5,"WAS",13,2,2006,2,1,0,0,0,"mike-hall-1",117,3732
245,8969.499999999998,20600314.33333333,"MIA",159,51,2006,16,8,3,6,2,"robert-hite-1",120.99999999999999,3568.999999999999
246,8989.000000000002,20600875.51851852,"CHA",181,64,2005.9999999999998,31,1,4,16,7,"ryan-hollins-1",113,2282
249,9102.999999999998,20600675.54237287,"MEM",738,260,2005.9999999999995,181,17,25,47,35,"alexander-johnson-1",92,1931.9999999999995
250,9154.5,20600700.06818182,"PHI",337,110,2006.0000000000005,57,16,11,18,1,"bobby-jones-1",92,
251,9205.499999999998,20600636.155172408,"ATL",680,189,2005.9999999999995,136,11,11,25,42,"solomon-jones-1",59.00000000000001,1839.999999999999
252,9235,20600302,"MEM",1,2,2006,0,0,1,0,0,"tarence-kinsey-1",123,3062
254,9251.5,20600092.6,"MEM",174,56,2006,31,32,14,12,1,"kyle-lowry-1",57.00000000000001,1520.9999999999998
255,9257,20600578,"GSW",27,5,2006,2,0,2,1,0,"renaldo-major-1",41,984
257,9290,20600281.8,"MIL",12,0,2006.0000000000002,0,0,0,2,0,"chris-mccray-1",103,2626
258,9298,20600212.09090909,"PHI",43,15,2006,11,1,0,1,0,"ivan-mcfarlin-1",132,3879.999999999999
259,9309.499999999998,20600948.33333333,"DAL",71,29,2006,21,0,1,9,0,"pops-mensah-bonsu-1",111.99999999999997,2665
260,9365,24034891.13131313,"UTA",1738,659,2006,498,70,78,107,83,"paul-millsap-1",92.00000000000003,3237.999999999998
261,9417,20601132.8,"NYK",43,4,2006.0000000000002,9,1,2,2,1,"randolph-morris-1",89,2118
262,9458.499999999996,20600587.243589733,"CHA",2330,917,2005.9999999999998,230,163,28,130,6,"adam-morrison-1",95.00000000000001,2907.0000000000005
263,9531.499999999996,20600660.7352941,"MIL",792,184,2005.9999999999998,123,65,25,40,9,"david-noel-1",126.99999999999993,2945.999999999999
264,9573,20600763.46666667,"HOU",88,26,2006.0000000000002,9,2,4,3,0,"steve-novak-1",126.00000000000001,3402.000000000001
266,9599.5,20601145.166666668,"BOS",99,31,2006.0000000000002,15,5,3,4,3,"kevinn-pinkney-1",110,2596
267,9633.999999999996,20600700.587301582,"BOS",713,264,2005.9999999999995,215,10,14,47,22,"leon-powe-1",53.99999999999997,1755
268,9667,20600130.666666664,"UTA",13,2,2006,3,0,0,3,0,"roger-powell-1",128,2547
269,9677.500000000002,20600957.83333333,"MIA",235,88,2006,24,37,11,12,0,"chris-quinn-1",122.99999999999999,3813
270,9709.999999999998,20600776.36170214,"BOS",712,290,2006.0000000000005,69,43,20,42,3,"allan-ray-1",130,4016.999999999998
273,9845.500000000002,20600645.038461547,"BOS",1828,501,2005.9999999999998,292,297,128,137,8,"rajon-rondo-1",67.99999999999997,1909.9999999999993
274,9912.999999999996,20600697.122807015,"POR",2011,955,2005.9999999999998,250,230,67,116,10,"brandon-roy-1",102.99999999999993,2831.9999999999995
277,10059.999999999998,20600397.976744194,"NOK",546,126,2006.0000000000005,107,12,8,22,23,"cedric-simmons-1",63,1189.9999999999998
279,10142.500000000002,20600630.56097561,"MIN",1530,608,2005.9999999999998,416,49,51,74,18,"craig-smith-1",130,4420.000000000001
280,10187.5,20600263.249999996,"PHI",30,5,2006,6,0,1,2,0,"steven-smith-1",107,3841
282,10264.5,23039595.500000007,"CHI",1092,425,2005.9999999999998,303,46,56,109,81,"tyrus-thomas-1",32,827.9999999999999
284,10317.5,20601145.833333332,"SAS",138,50,2006.0000000000002,20,5,3,5,1,"james-white-1",123,3333
285,10333.499999999995,20600933.19230769,"SAC",334,131,2005.9999999999998,115,2,5,15,16,"justin-williams-1",57.99999999999999,1559.9999999999998
286,11334.451612903224,22190361.10322582,"NJN",2295,886,2006.4129032258077,286,416,56,229,6,"marcus-williams-1",70.00000000000003,1953.0000000000007
287,10460.499999999996,20600807.456521746,"IND",574,180,2006.0000000000005,83,22,6,24,8,"shawne-williams-1",35.999999999999986,999.9999999999999
288,10523.999999999998,20600623.370370362,"ATL",1481,444,2005.9999999999998,435,44,52,96,39,"shelden-williams-1",139.00000000000003,3904.9999999999977
